"1974 Houston, We've Got a Problem (TV movie) as Steve Bell",Houston is related to Steve Bell,BN
"Björner, Anders; Brenti, Francesco (2005), Combinatorics of Coxeter groups, Springer, ISBN 978-3540-442387",2005 is related to Springer,BN
"Cameron, Peter J. (1994), Combinatorics: Topics, Techniques, Algorithms, Cambridge University Press, ISBN 978-0-521-45761-3",Cameron is related to 1994,MN
"Lehrer, Gustav I.; Taylor, Donald E. (2009), Unitary reflection groups, Australian Mathematical Society Lecture Series, vol. 20, Cambridge University Press, ISBN 978-0-521-74989-3, MR 2542964",Taylor is related to 2009,MN
"Viennot, G. (1977), 'Une forme géométrique de la correspondance de Robinson-Schensted',  in Foata, Dominique (ed.), Combinatoire et représentation du groupe symétrique, Lecture Notes in Mathematics (in French), vol. 579, Springer, pp. 29–58, doi:10.1007/BFb0090011, ISBN 978-3-540-08143-2",Foata is related to G.,BS
"Viennot, G. (1977), 'Une forme géométrique de la correspondance de Robinson-Schensted',  in Foata, Dominique (ed.), Combinatoire et représentation du groupe symétrique, Lecture Notes in Mathematics (in French), vol. 579, Springer, pp. 29–58, doi:10.1007/BFb0090011, ISBN 978-3-540-08143-2",Viennot is related to Foata,BN
"Viennot, G. (1977), 'Une forme géométrique de la correspondance de Robinson-Schensted',  in Foata, Dominique (ed.), Combinatoire et représentation du groupe symétrique, Lecture Notes in Mathematics (in French), vol. 579, Springer, pp. 29–58, doi:10.1007/BFb0090011, ISBN 978-3-540-08143-2",Combinatoire is related to French,BS
"Daniel Romano – lead vocals, guitar",Daniel Romano is related to guitar,GS
"When an additional six miles (9.7 km) of I-95 were opened in late 1978, motorists were directed eastward on SR 68 from SR 713 to connect with I-95. Most stayed with this route after a 0.3-mile (0.48 km)-long section (to SR 70) was opened in early 1979, even though Florida Department of Transportation posted signs encouraging them to avoid SR 713 altogether and use SR 70. The final segment of I-95 to be finished in Florida (Stuart to Palm Beach Gardens) was finally opened in 1987.",Stuart is related to 1987,BS
"John L. Rapier, owner of the Mobile Register and postmaster of Mobile.",John L. Rapier is related to Mobile Register,GS
Inducted in Canada's Sports Hall of Fame in 2016,Canada is related to Sports Hall of Fame,GS
"Interstate 80 in Nevada, part of the Interstate Highway System",Interstate 80 is related to Nevada,GS
"Interstate 80 in Nevada, part of the Interstate Highway System",Interstate 80 is related to Interstate Highway System,GS
"La collana di Pasqua (Naples, 1896) later presented as Nora",La collana di Pasqua is related to Nora,GN
Borkhausenia eurrhoa  (Australia including Tasmania),Borkhausenia eurrhoa is related to Tasmania,MN
Borkhausenia hypochalca  (Australia including Tasmania),Borkhausenia hypochalca is related to Tasmania,MN
Borkhausenia lymphatica  (Australia including Tasmania),Borkhausenia lymphatica is related to Tasmania,MN
"Borkhausenia nefrax  (US states of Arizona, New Mexico, California, Colorado)",Borkhausenia nefrax is related to Arizona,MS
Borkhausenia nigripuncta  (Australia including Tasmania),Borkhausenia nigripuncta is related to Tasmania,MN
Levi Richards as Third Guy with Justine (as Rick Livermore),Third Guy is related to Justine,MN
FHR European Ventures LLP v Cedar Capital Partners LLC [2014] UKSC 45,Cedar Capital Partners LLC is related to 2014,MN
"Cleng Peerson (1783–1865), pioneer settler in Lee County in 1840",Cleng Peerson is related to 1840,MS
"Cleng Peerson (1783–1865), pioneer settler in Lee County in 1840",Cleng Peerson is related to Lee County,MS
"Möllevången, a neighbourhood in Malmö",Möllevången is related to Malmö,GS
"Svanemøllen, a station in Copenhagen",Svanemøllen is related to Copenhagen,GS
"Möllebacken (Scanian dialect) and Møllebakken (Danish) are names for countless number of hills, 'Mill Hill' in English.",Mill Hill is related to English,GN
  Meritorious Service Medal with oak leaf cluster,Meritorious Service Medal is related to oak leaf cluster,BN
  Army Commendation Ribbon with oak leaf cluster,Army Commendation Ribbon is related to oak leaf cluster,BN
"Resurrezione (TV film, 2001)",Resurrezione is related to 2001,GS
"Luisa Sanfelice (TV miniseries, 2004)",Luisa Sanfelice is related to 2004,GS
"San Miniato, luglio '44 (with Valentino Orsini and Cesare Zavattini, 1954)",San Miniato is related to Valentino Orsini,MN
"Christmas Trivia edited by Jennie Miller Helderman, Mary Caulkins. Gramercy, 2002",Christmas Trivia is related to Mary Caulkins,MS
"Christmas Trivia edited by Jennie Miller Helderman, Mary Caulkins. Gramercy, 2002",Christmas Trivia is related to Jennie Miller Helderman,MS
"Ohr Yakar ('A Precious Light') - a Magnum opus of some 16 volumes in its extant manuscript form, which had occupied Ramak throughout his adult life - a classic commentary on the Zohar, Sefer Yetzirah and the Zoharic literary offshoots. Its publication ended around 2005 in Jerusalem (some 22 volumes). Certain parts, such as Tefilah le-Moshe and Shiur Qomah, were previously published as separate works.",Ramak is related to Zohar,BN
"Tomer Devorah ('Palm tree [of] Deborah') - a popular work of Musar Literature based on kabbalistic principles. It was translated into English by Louis Jacobs as 'Moses Cordovero, The Palm Tree of Deborah', New York Sepher-Hermon Press, 1960,  BJ1287.C8T61J2; and later by Rabbi Moshe Miller (1993). First chapter was also translated with an extensive commentary by Henry Abramson under the title The Kabbalah of Forgiveness: The Thirteen Levels of Mercy in Rabbi Moshe Cordovero's Date Palm of Devorah (Tomer Devorah) (2014)",Devorah is related to 2014,BN
"In 2014, Comicbook.com ranked Eternity's introduction 56th in their '75 Most Iconic Marvel Comics Moments' list.",Comicbook.com is related to 2014,MN
"In 2018, Screen Rant ranked Eternity 17th in their 'Marvel Vs DC: The 25 Most Powerful Gods ' list.",Screen Rant is related to 2018,MN
"In 2022, Collider ranked Eternity 4th in their '19 Most Powerful Marvel Characters' list.",Collider is related to 2022,MN
"Eternity appears in Thor: Love and Thunder. Gorr the God Butcher reaches Eternity's realm using Thor's axe Stormbreaker to wish for the death of all gods. However, Thor convinces Gorr to use his wish to resurrect his daughter Love instead.",Thor is related to axe,GN
"Eternity appears in Thor: Love and Thunder. Gorr the God Butcher reaches Eternity's realm using Thor's axe Stormbreaker to wish for the death of all gods. However, Thor convinces Gorr to use his wish to resurrect his daughter Love instead.",Thor is related to Gorr,GN
"Eternity appears in Thor: Love and Thunder. Gorr the God Butcher reaches Eternity's realm using Thor's axe Stormbreaker to wish for the death of all gods. However, Thor convinces Gorr to use his wish to resurrect his daughter Love instead.",Eternity is related to Thor,MS
"Palmowski, J., 1999. Urban Liberalism in imperial Germany. Architectural setting of the cult of saints in the early Christian West, c.300–1200, The Oxford Historical Monographs.",Palmowski is related to 1999,MN
"Liam Gallagher – lead vocals, tambourine",Liam Gallagher is related to tambourine,GS
"110,865,333 km to cover yearly","110,865,333 km is related to yearly",BS
HOXC10 is overexpressed in breast cancer and transcriptionally regulated by estrogen via involvement of histone methylases MLL3 and MLL4.,HOXC10 is related to estrogen,GN
HOXC10 is overexpressed in breast cancer and transcriptionally regulated by estrogen via involvement of histone methylases MLL3 and MLL4.,HOXC10 is related to breast cancer,GN
Methylation of the estrogen-repressed gene HOXC10 in breast cancer determines resistance to aromatase inhibitors. This epigenetic reprogramming of HOXC10 is observed in endocrine-resistant breast cancer.,epigenetic reprogramming is related to breast cancer,MN
"This Is U.P. Wilson (1995), JSP (UK)",1995 is related to UK,BN
"James Sharples (1890 – 1969 in Bishop's Castle), an English cricketer who played for Glamorgan",Bishop is related to Castle,MN
"Fuzz Townshend (born 1964), a British drummer, TV presenter, a motoring journalist and mechanic. He lives in Bishop's Castle",Bishop is related to Castle,MN
"Matthew Green (born 1970), Liberal Democrat politician, lived in Bishops Castle prior to his election as MP for Ludlow.",Matthew Green is related to Bishops Castle,GS
"Denise Y. Arnold, Christine A. Hastorf (2008). Heads of State: Icons, Power, and Politics in The Ancient and Modern Andes. Left Coast Press. ISBN 9781598741711.",Denise Y. Arnold is related to 2008,MN
"Bierdz, T. (2009). Forgiving Troy: A True Story of Murder, Mental Illness and Recovery. Thom Bierdz. ISBN 978-1-61539-485-2. Retrieved 2018-02-28.",Bierdz is related to 2009,MN
Kai (voiced by Brody Allen in English) is the yellow deer who is the leader of the Deer Squad and the group's tech wizard. He has water powers and a hovercraft.,Brody Allen is related to English,GN
Lola (voiced by Juliet Rusche in English) is the pink deer who has wood powers and a car that can fly.,Lola is related to deer,GS
Lola (voiced by Juliet Rusche in English) is the pink deer who has wood powers and a car that can fly.,Juliet Rusche is related to English,GN
Rammy (voiced by Holden Thomas in English) is the big red deer who has heat powers and a race car that is able to convert into a robotic horse which is able to leap high.,race car is related to horse,MN
Rammy (voiced by Holden Thomas in English) is the big red deer who has heat powers and a race car that is able to convert into a robotic horse which is able to leap high.,Holden Thomas is related to English,GN
Bobbi (voiced by Connor Elias Andrade in English) is the small green deer who has earth powers. He also has the ability to understand babbling animals and likes making desserts.,Connor Elias Andrade is related to English,GN
"Sir Steel (voiced by Doug Erholtz in English) is a conceited wealthy entrepreneur who comes up with various plans either for profit or to simply provide himself with convenience even if it means causing problems in the city or wilderness which he does not seem to mind or realize. Though not entirely bald (he has a small hook of hair at the very top), Sir Steel wears a wig which is seen coming off sometimes. He is also the main antagonist of the series.",Doug Erholtz is related to English,GN
Professor Scratch (voiced by Julie Maddalena Kliewer in English) is Sir Steel's personal scientist.,Julie Maddalena Kliewer is related to English,GN
"Ian (voiced by Mr. Lawrence in English) is a white duck who is a friend of the Deer Squad. He likes keeping the park in order, and would sometimes dispatch the Deer Squad with his tuba when he notices trouble. He also has ducklings to care for.",Mr. Lawrence is related to English,GN
"Ian (voiced by Mr. Lawrence in English) is a white duck who is a friend of the Deer Squad. He likes keeping the park in order, and would sometimes dispatch the Deer Squad with his tuba when he notices trouble. He also has ducklings to care for.",Mr. Lawrence is related to English,GN
Tina (voiced by Samantha Hahn in English) is a green turtle who is also a friend of the Deer Squad. She has three children.,Tina is related to green turtle,GS
Tina (voiced by Samantha Hahn in English) is a green turtle who is also a friend of the Deer Squad. She has three children.,Samantha Hahn is related to English,GN
Fifi and Sasha (both voiced by Andie Mechanic in English) are two swans.,Andie Mechanic is related to English,GN
Ricardo (voiced by Jaiden Cannatelli in English) is a helium-voiced squirrel who likes to play pranks. He has an affinity for his tail which he named Ramona.,Ricardo is related to squirrel,GS
Ricardo (voiced by Jaiden Cannatelli in English) is a helium-voiced squirrel who likes to play pranks. He has an affinity for his tail which he named Ramona.,Jaiden Cannatelli is related to English,GN
Catherine (voiced by Gabby Clarke in English) is a young and heartfelt-looking female crocodile who resides in a place called The Sewer.,Catherine is related to Gabby Clarke,GS
Catherine (voiced by Gabby Clarke in English) is a young and heartfelt-looking female crocodile who resides in a place called The Sewer.,Gabby Clarke is related to English,GN
"Arnold Bernhard Library – The library is named for Arnold Bernhard, the founder and former chief executive officer of Value Line, Inc. Bernhard's son made the library renovation possible by donating $1 million for the project and an additional $3 million for the university's endowment in 1997. The donation was the largest in the university's history. The signature clock tower was replaced during the renovation which changed the icon of the school, which was a rocket ship spire, to a more conservative, modern tower. The computer help desk was relocated to the library. The learning center, renamed the 'learning commons', includes a student tutoring program.",library is related to Arnold Bernhard,MN
"E\F band A-100 'Kama' radar based in two concentric rings; a near ring - 25–30 km from Moscow, and a far ring, approximately 200–250 km from Moscow, for early warning and target detection.",ring is related to Moscow,BS
 North Korea - 72 delivered in 1961.,North Korea is related to 1961,BN
"Fellowship (Verve Forecast, 2010)",Fellowship is related to 2010,GS
'Reaching for the Moon' with Regina Carter and Russell Malone on We All Love Ella: Celebrating the First Lady of Song (2007),Moon is related to Regina Carter,MS
"'Whispering Pines', a duet with Jakob Dylan produced by Joe Henry for Endless Highway: The Music of The Band (2007)",Whispering Pines is related to Jakob Dylan,GS
"'Whispering Pines', a duet with Jakob Dylan produced by Joe Henry for Endless Highway: The Music of The Band (2007)",Whispering Pines is related to Jakob Dylan,GS
'Backward Country Boy Blues' by Duke Ellington on Terri Lyne Carrington's Money Jungle: Provocative in Blue (2013),Terri Lyne Carrington is related to Money Jungle,GS
'Om Sweet Om' on Taj Mo by Taj Mahal and Keb' Mo' (2017),Keb is related to 2017,BS
Holland makes a cameo appearance as Peter Parker in the ,Holland is related to cameo appearance,BN
Holland makes a cameo appearance as Peter Parker in the ,Holland is related to Peter Parker,GN
"Holland's Spider-Man and Zendaya's MJ, based on their appearances in No Way Home, are purchasable skins in the third season of the video game Fortnite.",Zendaya is related to MJ,GN
"The main suits from Homecoming and Far From Home, as well as the MCU's version of the Iron Spider armor, are all featured as downloadable content (DLC) costumes for Spider-Man in Square Enix's Avengers (2020) game on PlayStation 4 and PlayStation 5.",Square Enix is related to Avengers,GN
"Shakespeare's Life and Art, 1939.",Shakespeare is related to 1939,BS
"Roland, played by Valentine Pelka",Roland is related to Valentine Pelka,GN
"Conrad, played by John Otway",Conrad is related to John Otway,GN
"Arris, played by Robert Addie",Arris is related to Robert Addie,GN
"Stefan, played by Conrad Phillips",Stefan is related to Conrad Phillips,GN
"Ambrose, played by Bertie Cortez",Ambrose is related to Bertie Cortez,GN
'Freedun' (featuring Zayn) – 4:42,Freedun is related to Zayn,GS
"Master of Fine Arts, State University of New York, Visual Studies Workshop in Rochester, New York (1981)",Visual Studies Workshop is related to Rochester,MS
"Master of Fine Arts, State University of New York, Visual Studies Workshop in Rochester, New York (1981)",Fine Arts is related to New York,BS
"Master of Fine Arts, State University of New York, Visual Studies Workshop in Rochester, New York (1981)",Fine Arts is related to Rochester,BS
"Master of Fine Arts, State University of New York, Visual Studies Workshop in Rochester, New York (1981)",Visual Studies Workshop is related to Rochester,MS
"Doctorate, University of Paris (Sorbonne), (1983)",Doctorate is related to Paris,MN
"1 2 3  Werness, Hope B., Continuum Encyclopedia of Native Art: Worldview, Symbolism, and Culture in Africa, Oceania, and North America, A & C Black (2003), p. 85, ISBN 9780826414656, (retrieved March 20, 2020) ",Worldview is related to Africa,BN
"1 2 3  Werness, Hope B., Continuum Encyclopedia of Native Art: Worldview, Symbolism, and Culture in Africa, Oceania, and North America, A & C Black (2003), p. 85, ISBN 9780826414656, (retrieved March 20, 2020) ",Africa is related to 2003,BS
"1 2  Imperato, Pascal James (cont. Martin and Osa Johnson Safari Museum), The Cultural Heritage of Africa, Safari Museum Press (1974), pp. 28-29",Martin is related to Africa,BS
"Pascal Sergent, Guy Crasset, Hervé Dauchy (2000). Mondial Encyclopedie Cyclisme.  Volume 3 G-P, UCI.  ISBN 90-74128-73-4",Pascal Sergent is related to 2000,MN
Singapore's Ministry of Education Master plan for Information Technology in Education - This third Masterplan continues what was built on in the 1st and 2nd plans to transform learning environments to equip students to compete in a knowledge economy.,Singapore is related to Ministry of Education,GN
"The World Future Society, founded in 1966, is the largest and longest-running community of futurists in the world. WFS established and built futurism from the ground up—through publications, global summits, and advisory roles to world leaders in business and government.",World Future Society is related to 1966,GS
"The World Future Society, founded in 1966, is the largest and longest-running community of futurists in the world. WFS established and built futurism from the ground up—through publications, global summits, and advisory roles to world leaders in business and government.",WFS is related to futurism,GS
"Houston Foresight Program, University of Houston",Houston Foresight Program is related to Houston,GS
"Institute for Futures Research, University of Stellenbosch, South Africa",Futures Research is related to South Africa,GN
"Machine Intelligence Research Institute (MIRI), Berkeley, California (Previously known as the Singularity Institute)",Machine Intelligence Research Institute is related to Singularity Institute,GS
Future Frequencies Derek Woodgate with Wayne Pethrick,Future Frequencies is related to Wayne Pethrick,MS
Prasenjit was the maternal grandfather of Parashurama,Prasenjit is related to Parashurama,GS
Anaranya(2) was killed by Ravana. (a contemporary of Anu King Janamejaya),Anaranya is related to Ravana,GS
"Trishanku (Satyavrata) (a contemporary of Anu Kings, Vrshadarbha of Sivi Kingdom, Setuka, Madra who founded the Madra Kingdom and Kekaya who founded the Kekaya Kingdom)",Anu Kings is related to Sivi Kingdom,MN
"Mulaka (Contemporary of Parashurama, he saved himself by hiding amongst women when Parashurama was destroying the Kshatriyas)",Mulaka is related to Parashurama,GS
"Rama (a contemporary of Yadava King Satvata, an ancestor of Krishna, Kashi King Pratardhana, and Anga King Chaturanga)",Yadava King Satvata is related to Krishna,MN
Lava inherited Shravasti and founded Lavapuri and Kusha inherited Kusavati.,Lava is related to Shravasti,GN
Lava inherited Shravasti and founded Lavapuri and Kusha inherited Kusavati.,Lavapuri is related to Kusavati,BN
Lava inherited Shravasti and founded Lavapuri and Kusha inherited Kusavati.,Kusha is related to Kusavati,GN
"Höffkes, Karl (1986). Hitlers politische Generale die Gauleiter des Dritten Reiches ; ein biographisches Nachschlagewerk (2., überarb. und erw. Aufl ed.). Tübingen. ISBN 3-87847-163-7.",Höffkes is related to 1986,MN
"Borodianka settlement hromada with the administration in the urban-type settlement of Borodianka, transferred from Borodianka Raion;",Borodianka settlement hromada is related to Borodianka Raion,MN
"Bucha urban hromada, with the administration in the city of Bucha, previously incorporated as a city of oblast significance;",Bucha urban hromada is related to city,BN
"Hostomel settlement hromada, with the administration in the urban-type settlement of Hostomel, transferred from Irpin Municipality;",Hostomel settlement hromada is related to Irpin Municipality,MN
"Irpin urban hromada, with the administration in the city of Irpin, transferred from Irpin Municipality;",Irpin urban hromada is related to Irpin Municipality,MN
"Kotsiubynske settlement hromada, with the administration in the urban-type settlement of Kotsiubynske, transferred from Irpin Municipality;",Kotsiubynske settlement hromada is related to Irpin Municipality,MN
"Makariv settlement hromada  with the administration in the urban-type settlement of Makariv, transferred from Makariv Raion;",Makariv settlement hromada is related to Makariv Raion,MN
"Nemishaieve settlement hromada with the administration in the urban-type settlement of Nemishaieve, transferred from Borodianka Raion;",Nemishaieve settlement hromada is related to Borodianka Raion,MN
"Piskivka settlement hromada with the administration in the urban-type settlement of Piskivka, transferred from Borodianka Raion.",Piskivka settlement hromada is related to Borodianka Raion,MN
"Jeremy Valentine is currently a lecturer in Media at Queen Margaret University in Edinburgh, Scotland.",Queen Margaret University is related to Edinburgh,GS
"Jeremy Valentine is currently a lecturer in Media at Queen Margaret University in Edinburgh, Scotland.",Jeremy Valentine is related to Queen Margaret University,GS
Utah — a sluff commonly refers to a truancy.,sluff is related to truancy,BN
Creighton maintains one USPS full service location as well as a City Hall building for public works and city documents.,City Hall is related to public works,BN
"Deo, Sadafal (2015) [1938]. Swarved (Bhashya Sahit) [Swarved (With Exposition)] (in Hindi) (20 ed.). Allahabad: Sukrit Offset Press. p. 1156. ISBN 978-8192069661.",Hindi is related to Bhashya Sahit,BN
"Callicrates: Considered the 'most beautiful man, not among the Spartans only, but in the whole Greek camp', Callicrates was eager to distinguish himself that day as a warrior but was deprived of the chance by a stray arrow that pierced his side while standing in formation. When the battle commenced he insisted on making the charge with the rest, but collapsed within a short distance. His last words, according to Herodotus, were, 'I grieve not because I have to die for my country, but because I have not lifted my arm against the enemy.'",Spartans is related to Callicrates,MN
"Bercuson, David (2001) [1996]. Maple Leaf Against the Axis. Red Deer Press. ISBN 0-88995-305-8. OCLC 55973783.",2001 is related to 1996,BS
"Zuehlke, Mark (1999). Ortona: Canada's epic World War II battle. Vancouver: Douglas & McIntyre. ISBN 1-55054-557-4.",Zuehlke is related to 1999,MN
 Falkland Islands (British Overseas Territory): Adopted by the Falkland Islands Defence Force in 2019 to replace the Steyr AUG,Falkland Islands is related to Falkland Islands Defence Force,GN
 Falkland Islands (British Overseas Territory): Adopted by the Falkland Islands Defence Force in 2019 to replace the Steyr AUG,Falkland Islands is related to 2019,MN
"1 2  Meek, James (10 October 2002), 'Off Target', The Guardian",Target is related to James,BS
↑  'SA80 (Small Arms for the 1980s): The Sorry Saga of the British Bulldog's Bullpup'. www.historyofwar.org. Retrieved 30 May 2017.,British Bulldog is related to Bullpup,MN
"1 2  Hogg, Ian; Weeks, John (1991). Military Small Arms of the 20th Century. London: Arms and Armour Press. p. 158. ISBN 978-1-854-09034-8. [...] the first five years of this rifle's service have been disastrous. A number of manufacturing defects showed up in service conditions, and it was not until the closure of the RSAF at Enfield and the setting up of an entirely new production line, with new computer-controlled machine tools, at the new RSAF Nottingham, that the quality of the production weapons began to improve. It will take some time for the poor reputation gained by the initial issue weapons to be overcome; the only consolation is that the same sort of thing has happened to other military rifles in the past, and they have managed to live down their early reputation and prove their innate reliability. It is to be hoped that the L85A1 will do as well.",Weeks is related to 1991,BS
"↑  Meek, James (10 October 2002), 'Off Target', The Guardian",Target is related to James,BS
"↑  for example the Bremner, Bird and Fortune satirical comedy documentary Between Iraq and a Hard Place included the line: 'The SA80 is a lethal weapon, especially for anyone trying to fire it', similar to a description of the Vietnam War era M16.",SA80 is related to lethal weapon,MN
"↑  Hogg, Ian; Weeks, John (1991). Military Small Arms of the 20th Century. London: Arms and Armour Press. p. 293. ISBN 978-1-854-09034-8.",Weeks is related to 1991,BS
↑  staff (8 June 2010). 'Taking Back The Infantry Half-km: Britain's L129A1'. Defense Industry Daily.,Britain is related to L129A1,GN
"↑  Neville, Leigh (2015). The British Army in Afghanistan 2006–14: Task Force Helmand. Osprey Publishing. p. 10. ISBN 9781472806758.",British Army is related to Afghanistan,MN
↑  'SA80 in Bolivia'. 31 December 2012. Retrieved 1 February 2019.,SA80 is related to Bolivia,MN
"↑  Lewis, Damien (2005). Operation Certain Death. London: Arrow Books. ISBN 978-0-099-46642-0.",Lewis is related to 2005,BS
"Abu-Husayn, Abdul-Rahim (1985). Provincial Leaderships in Syria, 1575–1650. Beirut: American University of Beirut. ISBN 978-0-8156-6072-9. OCLC 242675094.",Provincial Leaderships is related to Syria,BN
"Chehab, Hafez (1994). 'Reconstructing the Medici Portrait of Fakhr al-Din Maʾani'. Muqarnas. 11: 117–124. doi:10.2307/1523213. JSTOR 1523213.",Chehab is related to 1994,BS
"Harris, William (2012). Lebanon: A History, 600–2011. New York: Oxford University Press. ISBN 978-0-19-518111-1.",Harris is related to 2012,BS
"Stone, Christopher (2008). Popular Culture and Nationalism in Lebanon: The Fairouz and Rahbani Nation. Abingdon, Oxon and New York: Routledge. ISBN 978-0-415-77273-0.",Popular Culture is related to Lebanon,BS
"Mike Kingswood – lead guitar, backing vocals ",Mike Kingswood is related to backing vocals,GS
"Maiden Heaven: A Tribute to Iron Maiden, 2 Minutes to Midnight. (16 July 2008)",Iron Maiden is related to Midnight,GS
"Phil Bredesen (born 1943), Governor of Tennessee",Phil Bredesen is related to Tennessee,GS
"George Conway (c. 1878–1939), horse trainer who trained War Admiral, winner of the Triple Crown in 1937",War Admiral is related to Triple Crown,BS
"Kevin Smith (born 1970), filmmaker, lived in Oceanport in the 1990s",Kevin Smith is related to Oceanport,GN
"Asia Dream Tag Team Championship (2 times, current) – with Emi Sakura (1) and Chris Brookes (1)",Asia Dream Tag Team Championship is related to Emi Sakura,MN
Go! Go! Golden Mixed Tag Tournament (2012) – with Kurumi,Golden Mixed Tag Tournament is related to Kurumi,MN
"SPW Southeast Asian Tag Team Championship (1 time, current) - with Chris Brookes",SPW Southeast Asian Tag Team Championship is related to Chris Brookes,MN
"'Psicofármacos en Geriatría', (Psychotropic Drugs in Geriatrics), en colaboración con Myriam Monczor, Editorial McGraw- Hill Interamericana, Buenos Aires, 2001 y 2012.                                                   (ISBN 958-41-0272-9).",Psychotropic Drugs is related to Geriatrics,BN
"Finian's Rainbow (1947, revivals in 1955, 1960, 2009) - musical - composer",Finian is related to Rainbow,MN
“The Last Call for Love” (lyrics by Margery Cummings and E. Y. Harburg),Last Call is related to Margery Cummings,BN
Congressional Gold Medal awarded to the Tuskegee Airmen in 2006,Congressional Gold Medal is related to 2006,MS
'Johanna's Chopper' – 4:08,Johanna is related to Chopper,BN
"Axl Rose – vocals, background vocals on 'Dead Flowers', piano",vocals is related to Dead Flowers,BN
Between the Bars (2:21) – Performed by Elliott Smith,Bars is related to Elliott Smith,BN
Miss Misery (3:12) – Performed by Elliott Smith,Miss Misery is related to Elliott Smith,GS
"Institute on Statelessness and Inclusion (2018). 'Submission to the Human Rights Council at the 30th Session of the Universal Periodic Review: (Third Cycle, May 2018)' (PDF). Institute on Statelessness and Inclusion. Retrieved 5 November 2019. {{cite journal}}: Cite journal requires |journal= (help)",Statelessness is related to 2018,BS
"Ngwane, George (2015). 'Preventing Renewed Violence Through Peace Building in the Bakassi Peninsula (Cameroon)' (PDF). Jimbi Central. Retrieved 26 October 2019.",Ngwane is related to 2015,BS
'Europa (Earth's Cry Heaven's Smile)'  – 6:07 (Live),Heaven is related to Smile,BS
